Sire,Dam,animal,Column,Block,Chosen/Rejected,Vial,l2,l3,l4,l5
9,107,550,B,1,1,107,1.6934255,0.335435711,0.169516983,0.501355173
9,107,551,B,1,0,107,1.67665668,0.419819577,0.183688031,0.586274007
9,107,552,B,1,1,107,1.660013066,0.323119731,0.227864241,0.482895879
9,107,553,B,1,0,107,1.685367689,0.413981103,0.201548364,0.574877907
9,107,554,B,1,1,107,1.661088971,0.287088625,0.290777137,0.573065612
10,108,555,F,1,0,108,1.77281065,0.307742514,0.651225882,1.085597508
10,108,556,F,1,1,108,1.773886628,0.317320165,0.303718617,0.84904921
10,108,557,F,1,0,108,1.785278893,0.290480642,0.365618408,0.814130561
10,108,558,F,1,0,108,1.75531386,0.347675826,0.698847262,1.010139033
10,108,559,F,1,1,108,1.69848343,0.265512034,0.187954457,0.863155444
10,108,560,B,1,0,108,1.751275625,0.249118902,0.115183027,0.870517572
10,108,561,B,1,0,108,1.764383872,0.321735049,0.149339929,0.947170311
10,108,562,B,1,1,108,1.747146362,0.354562716,0.161197925,0.824505699
10,108,563,B,1,0,108,1.776714058,0.311685602,0.207404141,0.879685673
10,108,564,B,1,1,108,1.777955324,0.346226428,0.185379921,0.824836276
10,109,565,F,1,0,109,1.719570658,0.264920844,0.212305129,0.547819951
10,109,566,F,1,1,109,1.730001816,0.297003895,0.265212237,0.616135331
10,109,567,F,1,0,109,1.73673153,0.219452192,0.306333443,0.47453472
10,109,568,F,1,1,109,1.736992898,0.283885367,0.305905243,0.644679403
10,109,569,F,1,0,109,1.736507863,0.227503081,0.317201704,0.579191143
10,109,570,B,1,0,109,1.732809701,0.277187394,0.386975302,0.575431246
10,109,571,B,1,1,109,1.744025836,0.251133428,0.27878995,0.537709304
10,109,572,B,1,1,109,1.746115487,0.246921579,0.194233435,0.711573253
10,109,573,B,1,1,109,1.726236877,0.22179259,0.39155626,0.379629174
10,109,574,B,1,0,109,1.734065804,0.307207877,0.304971333,0.464849564
10,110,575,F,1,0,110,1.792725039,0.654866385,1.005609165,1.272378476
10,110,576,F,1,0,110,1.762030674,0.53480445,1.058363313,1.253925309
10,110,577,F,1,1,110,1.777314825,0.516397955,0.920650222,1.110698931
10,110,578,F,1,0,110,1.737057494,0.363389023,0.448390053,0.659172785
10,110,579,B,1,0,110,1.761099707,0.452445563,0.827814629,1.084275545
10,110,580,B,1,1,110,1.765971061,0.381955961,0.406011133,0.652829663
10,110,581,B,1,1,110,1.575803948,0.384888973,0.827321205,1.122577871
11,111,582,F,1,1,111,1.728570362,0.273933015,0.368472784,0.733336659
11,111,583,F,1,0,111,1.764177892,0.260193763,0.374099057,0.743296402
11,111,584,F,1,0,111,1.732827757,0.259073136,0.390498378,0.64952884
11,111,585,F,1,1,111,1.737230018,0.251681311,0.423045229,0.690489187
11,111,586,F,1,0,111,1.740147261,0.304404744,0.321763239,0.667529566
11,111,587,B,1,0,111,1.722079824,0.270761964,0.377395324,0.534266421
11,111,588,B,1,0,111,1.744230328,0.270480166,0.344952758,0.646335062
11,111,589,B,1,1,111,1.720483708,0.268310368,0.355951315,0.556336725
11,111,590,B,1,0,111,1.748753358,0.476265919,0.425606227,0.437593028
11,111,591,B,1,0,111,1.745371268,0.302199512,0.376276037,0.584519999
11,112,592,F,1,0,112,1.682158744,0.186919291,0.336727088,0.520910363
11,112,593,F,1,1,112,1.656010805,0.191125147,0.261357795,0.56119842
11,112,594,F,1,0,112,1.707283504,0.237353634,0.368098198,0.556960669
11,112,595,F,1,0,112,1.658854026,0.17727399,0.380450895,0.628671401
11,112,596,F,1,0,112,1.725932632,0.25279153,0.385042612,0.639041538
11,112,597,B,1,0,112,1.732564112,0.227679069,0.261959738,0.641202902
11,112,598,B,1,0,112,1.749186727,0.24550138,0.270338454,0.733341008
11,112,599,B,1,0,112,1.731671858,0.23306,0.295153986,0.668551987
11,112,600,B,1,1,112,1.7158648,0.251946951,0.218014743,0.597214623
11,112,601,B,1,0,112,1.722778687,0.235015401,0.375618235,0.67205683
11,113,602,F,1,0,113,1.670308652,0.259161811,0.394837331,0.30110422
11,113,603,F,1,1,113,1.653022657,0.261090654,0.318403722,0.373777072
11,113,604,F,1,1,113,1.666894648,0.260026063,0.278378068,0.363983789
11,113,605,F,1,0,113,1.654324089,0.243379916,0.354554491,0.273512882
11,113,606,F,1,0,113,1.67308996,0.216651894,0.355377795,0.379127157
12,114,607,F,1,0,114,1.695914499,0.281934402,0.109665633,0.721088668
12,114,608,F,1,0,114,1.721308767,0.32471611,0.107046278,0.688839019
12,114,609,F,1,0,114,1.703557325,0.322405632,0.106926477,0.678284395
12,114,610,F,1,0,114,1.697953337,0.278724687,0.021512915,0.657965944
12,114,611,F,1,0,114,1.723715844,0.370400673,0.118385661,0.74135787
12,114,612,B,1,0,114,1.712716689,0.231621172,0.20390524,0.709812172
12,114,613,B,1,1,114,1.709898884,0.227801955,0.221070933,0.734570277
12,114,614,B,1,1,114,1.744249681,0.330873374,0.258967523,0.765455608
12,114,615,B,1,0,114,1.7249274,0.208660808,0.245485697,0.722616373
12,114,616,B,1,0,114,1.706777361,0.22228241,0.2359419,0.658448894
12,115,617,F,1,1,115,1.695039406,0.336055671,0.353180993,0.622190308
